Zachos Time delta_18O(Myr BP),Zachos Time delta_18O(0/00),Time delta_18O(Myr BP),Time delta_18O(0/00),Tdo(C),Ts(C),SL(m)
18.6508,2.27,18.6513,2.264,3.63,18.78,39.4
18.653,2.6,18.6531,2.272,3.61,18.76,39.1
18.6565,2.05,18.6558,2.324,3.47,18.62,37
18.6566,2.14,18.6582,2.248,3.67,18.82,40.1
18.6621,2.56,18.6609,2.176,3.86,19.01,43
18.6628,1.89,18.6635,2.182,3.85,19,42.7
18.6667,2.24,18.6664,2.18,3.85,19,42.8
18.6692,2.08,18.6691,2.188,3.83,18.98,42.5
18.6712,2.13,18.6726,2.314,3.5,18.65,37.4
18.6758,2.6,18.6758,2.336,3.44,18.59,36.6
18.6803,2.52,18.6789,2.438,3.17,18.32,32.5
18.6824,2.35,18.6822,2.382,3.31,18.46,34.7
18.6848,2.59,18.6849,2.392,3.29,18.44,34.3
18.6875,1.85,18.687,2.306,3.52,18.67,37.8
18.6894,2.65,18.6888,2.248,3.67,18.82,40.1
18.6907,2.09,18.6906,2.142,3.95,19.1,44.3
18.6918,2.06,18.6919,2.222,3.74,18.89,41.1
18.6938,2.06,18.6932,2.128,3.99,19.14,44.9
18.6939,2.25,18.6944,2.162,3.9,19.05,43.5
18.6957,2.18,18.696,2.276,3.6,18.75,39
18.697,2.26,18.6971,2.286,3.57,18.72,38.6
18.6994,2.63,18.6989,2.284,3.58,18.73,38.6
18.6996,2.11,18.7005,2.264,3.63,18.78,39.4
18.703,2.24,18.7022,2.268,3.62,18.77,39.3
18.7035,2.08,18.7038,2.092,4.09,19.24,46.3
18.7056,2.28,18.7054,2.184,3.84,18.99,42.6
18.7074,1.75,18.7071,2.122,4.01,19.16,45.1
18.7076,2.57,18.7088,2.054,4.19,19.34,47.8
18.7113,1.93,18.7107,2.044,4.22,19.37,48.2
18.7121,1.74,18.7122,2.084,4.11,19.26,46.6
18.7149,2.23,18.7142,2.052,4.19,19.34,47.9
18.7152,1.95,18.7158,2.098,4.07,19.22,46.1
18.7177,2.41,18.7175,2.198,3.81,18.96,42.1
18.7191,2.16,18.719,2.104,4.06,19.21,45.8
18.7204,2.24,18.7206,2.206,3.78,18.93,41.8
18.7227,1.76,18.7216,2.126,4,19.15,45
18.723,2.46,18.7225,2.152,3.93,19.08,43.9
18.723,2.01,18.7236,2.108,4.05,19.2,45.7
18.7232,2.29,18.7244,2.254,3.66,18.81,39.8
18.726,2.02,18.7256,2.254,3.66,18.81,39.8
18.7269,2.49,18.7271,2.348,3.41,18.56,36.1
18.7288,2.46,18.7289,2.304,3.52,18.67,37.8
18.7305,2.48,18.7301,2.348,3.41,18.56,36.1
18.7321,2.07,18.7315,2.298,3.54,18.69,38.1
18.7321,2.24,18.7326,2.326,3.46,18.61,37
18.7341,2.24,18.7339,2.278,3.59,18.74,38.9
18.7343,2.6,18.735,2.29,3.56,18.71,38.4
18.7371,2.24,18.7369,2.258,3.65,18.8,39.7
18.7376,2.13,18.7386,2.214,3.76,18.91,41.4
18.7412,2.08,18.7407,2.114,4.03,19.18,45.4
18.7427,2.02,18.7423,2.034,4.24,19.39,48.6
18.7448,2.1,18.7445,2.056,4.18,19.33,47.8
18.7454,1.84,18.7459,2.058,4.18,19.33,47.7
18.7482,2.24,18.747,2.072,4.14,19.29,47.1
18.7483,2.09,18.7483,2.062,4.17,19.32,47.5
18.7485,2.09,18.7495,2.126,4,19.15,45
18.751,2.05,18.7502,2.078,4.13,19.28,46.9
18.7513,2.16,18.7513,2.04,4.23,19.38,48.4
18.7519,2,18.7525,2.082,4.11,19.26,46.7
18.7539,1.9,18.7534,2.066,4.16,19.31,47.4
18.7546,2.3,18.7545,2.116,4.02,19.17,45.4
18.7555,1.97,18.7557,2.15,3.93,19.08,44
18.7565,2.41,18.7568,2.208,3.78,18.93,41.7
18.7581,2.17,18.7582,2.272,3.61,18.76,39.1
18.7591,2.19,18.7594,2.304,3.52,18.67,37.8
18.7617,2.62,18.761,2.244,3.68,18.83,40.2
18.7618,2.13,18.7624,2.282,3.58,18.73,38.7
18.7644,2.11,18.7644,2.368,3.35,18.5,35.3
18.7652,2.36,18.7658,2.184,3.84,18.99,42.6
18.7688,2.62,18.7679,2.26,3.64,18.79,39.6
18.7688,1.7,18.7697,2.35,3.4,18.55,36
18.7724,2.51,18.7715,2.21,3.77,18.92,41.6
18.7731,2.56,18.7729,2.178,3.86,19.01,42.9
18.7742,1.66,18.7745,2.322,3.47,18.62,37.1
18.7759,2.46,18.7759,2.32,3.48,18.63,37.2
18.7768,2.42,18.7774,2.198,3.81,18.96,42.1
18.7795,2.5,18.7792,2.368,3.35,18.5,35.3
18.7806,1.95,18.7808,2.302,3.53,18.68,37.9
18.783,2.51,18.7831,2.21,3.77,18.92,41.6
18.7843,2.13,18.7852,2.19,3.83,18.98,42.4
18.7881,1.96,18.7875,2.144,3.95,19.1,44.2
18.7902,2.4,18.7896,2.112,4.03,19.18,45.5
18.7919,1.72,18.7919,2.124,4,19.15,45
18.7937,2.35,18.7937,2.248,3.67,18.82,40.1
18.7956,2.19,18.7959,2.298,3.54,18.69,38.1
18.7973,2.58,18.7981,2.344,3.42,18.57,36.2
18.8008,2.65,18.8002,2.412,3.23,18.38,33.5
18.8031,1.95,18.8025,2.358,3.38,18.53,35.7
18.8044,2.69,18.8046,2.344,3.42,18.57,36.2
18.8069,1.92,18.8066,2.27,3.61,18.76,39.2
18.8079,2.51,18.8083,2.39,3.29,18.44,34.4
18.8107,2.28,18.8103,2.276,3.6,18.75,39
18.8115,2.55,18.8119,2.382,3.31,18.46,34.7
18.8144,2.12,18.8137,2.274,3.6,18.75,39
18.8151,2.45,18.8152,2.286,3.57,18.72,38.6
18.8166,1.97,18.8172,2.186,3.84,18.99,42.6
18.8186,2.34,18.8188,2.276,3.6,18.75,39
18.8213,2.05,18.8206,2.226,3.73,18.88,41
18.8222,2.57,18.8225,2.284,3.58,18.73,38.6
18.8245,2.2,18.8243,2.192,3.82,18.97,42.3
18.8257,2.26,18.8259,2.204,3.79,18.94,41.8
18.8277,1.88,18.828,2.176,3.86,19.01,43
18.8293,2.11,18.8299,2.144,3.95,19.1,44.2
18.8327,2.43,18.8316,2.092,4.09,19.24,46.3
18.8341,2.04,18.8333,2.28,3.59,18.74,38.8
18.8341,2,18.8349,2.322,3.47,18.62,37.1
18.8361,2.82,18.8358,2.196,3.81,18.96,42.2
18.8373,2.32,18.8369,2.312,3.5,18.65,37.5
18.8375,1.8,18.8382,2.344,3.42,18.57,36.2
18.8396,2.62,18.8396,2.244,3.68,18.83,40.2
18.8406,2.16,18.8409,2.244,3.68,18.83,40.2
18.843,2.32,18.8427,2.388,3.3,18.45,34.5
18.8438,2.32,18.8442,2.298,3.54,18.69,38.1
18.8464,2.52,18.846,2.364,3.36,18.51,35.4
18.847,2.17,18.8474,2.34,3.43,18.58,36.4
18.8498,2.49,18.8493,2.37,3.35,18.5,35.2
18.8502,2.2,18.8507,2.286,3.57,18.72,38.6
18.8533,2.47,18.8527,2.278,3.59,18.74,38.9
18.8534,2.1,18.8547,2.184,3.84,18.99,42.6
18.8566,2.13,18.8566,2.238,3.7,18.85,40.5
18.8598,2.02,18.8586,2.178,3.86,19.01,42.9
18.8601,2.47,18.8606,2.234,3.71,18.86,40.6
18.863,2.17,18.8621,2.222,3.74,18.89,41.1
18.8636,2.38,18.8634,2.216,3.76,18.91,41.4
18.8642,2.07,18.865,2.162,3.9,19.05,43.5
18.8663,1.99,18.8664,2.232,3.71,18.86,40.7
18.8677,2.2,18.8685,2.116,4.02,19.17,45.4
18.8704,2.52,18.8713,2.114,4.03,19.18,45.4
18.8738,1.8,18.8742,2.162,3.9,19.05,43.5
18.8785,2.06,18.8783,2.204,3.79,18.94,41.8
18.8808,2.23,18.8825,2.204,3.79,18.94,41.8
18.888,2.41,18.8861,2.31,3.51,18.66,37.6
18.8912,2.52,18.8896,2.32,3.48,18.63,37.2
18.8921,2.33,18.8933,2.31,3.51,18.66,37.6
18.8958,2.11,18.8961,2.388,3.3,18.45,34.5
18.8996,2.18,18.8985,2.304,3.52,18.67,37.8
18.9017,2.8,18.9011,2.204,3.79,18.94,41.8
18.9034,2.1,18.9034,2.142,3.95,19.1,44.3
18.9052,1.83,18.9057,2.09,4.09,19.24,46.4
18.9071,1.8,18.9077,1.998,4.34,19.49,50.1
18.9109,1.92,18.91,1.972,4.41,19.56,51.1
18.9121,2.34,18.9123,2.136,3.97,19.12,44.6
18.9147,1.97,18.9145,2.174,3.87,19.02,43
18.9165,2.65,18.9165,2.314,3.5,18.65,37.4
18.9184,1.99,18.9185,2.246,3.68,18.83,40.2
18.9209,2.62,18.9206,2.354,3.39,18.54,35.8
18.9221,2,18.9225,2.26,3.64,18.79,39.6
18.9253,2.51,18.9247,2.332,3.45,18.6,36.7
18.9258,2.18,18.9264,2.228,3.73,18.88,40.9
18.9295,2.35,18.928,2.338,3.43,18.58,36.5
18.9295,2.1,18.9295,2.28,3.59,18.74,38.8
18.9297,2.55,18.9314,2.386,3.3,18.45,34.6
18.9332,2.22,18.9328,2.352,3.39,18.54,35.9
18.9349,2.71,18.9345,2.448,3.14,18.29,32.1
18.9368,2.18,18.9365,2.356,3.38,18.53,35.8
18.9379,2.58,18.938,2.362,3.37,18.52,35.5
18.9398,2.09,18.9393,2.31,3.51,18.66,37.6
18.9404,2.25,18.9404,2.262,3.63,18.78,39.5
18.9417,2.45,18.9415,2.164,3.9,19.05,43.4
18.9421,1.94,18.9423,2.192,3.82,18.97,42.3
18.9435,2.09,18.9434,2.226,3.73,18.88,41
18.944,2.23,18.9446,2.162,3.9,19.05,43.5
18.9456,2.42,18.946,2.204,3.79,18.94,41.8
18.9477,2.13,18.9473,2.12,4.01,19.16,45.2
18.9494,2.15,18.9485,2.036,4.24,19.39,48.6
18.95,1.67,18.9497,2.004,4.32,19.47,49.8
18.95,1.81,18.9508,2.042,4.22,19.37,48.3
18.9513,2.26,18.9519,2.078,4.13,19.28,46.9
18.9532,2.32,18.9533,2.19,3.83,18.98,42.4
18.9549,2.33,18.955,2.308,3.51,18.66,37.7
18.957,2.23,18.9569,2.376,3.33,18.48,35
18.9585,2.4,18.9587,2.388,3.3,18.45,34.5
18.9609,2.6,18.9607,2.468,3.09,18.24,31.3
18.9622,2.38,18.9625,2.468,3.09,18.24,31.3
18.9647,2.73,18.9645,2.572,2.81,17.96,27.1
18.9661,2.23,18.9663,2.494,3.02,18.17,30.2
18.9685,2.92,18.9684,2.564,2.83,17.98,27.4
18.9699,2.21,18.9702,2.454,3.12,18.27,31.8
18.9728,2.73,18.9724,2.542,2.89,18.04,28.3
18.9738,2.18,18.9742,2.376,3.33,18.48,35
18.9771,2.67,18.9765,2.436,3.17,18.32,32.6
18.9776,2.09,18.9783,2.33,3.45,18.6,36.8
18.9814,2.51,18.9806,2.304,3.52,18.67,37.8
18.9815,2.2,18.9823,2.224,3.74,18.89,41
18.9853,2.05,18.9848,2.326,3.46,18.61,37
18.9857,2.27,18.9867,2.194,3.82,18.97,42.2
18.9901,2.6,18.9886,2.132,3.98,19.13,44.7
18.9909,1.85,18.9902,2.122,4.01,19.16,45.1
18.9909,1.89,18.9919,2.148,3.94,19.09,44.1
18.9934,2,18.9934,2.064,4.16,19.31,47.4
18.9944,2.4,18.995,2.158,3.91,19.06,43.7
18.9976,2.18,18.9972,2.212,3.77,18.92,41.5
18.9987,2.32,18.9991,2.282,3.58,18.73,38.7
19.0017,2.16,19.0014,2.274,3.6,18.75,39
19.003,2.35,19.0033,2.43,3.19,18.34,32.8
19.0059,2.36,19.0056,2.412,3.23,18.38,33.5
19.0073,2.96,19.0075,2.466,3.09,18.24,31.4
19.01,2.23,19.0098,2.404,3.26,18.41,33.8
19.0115,2.43,19.0117,2.448,3.14,18.29,32.1
19.0142,2.04,19.0139,2.29,3.56,18.71,38.4
19.0157,2.58,19.0159,2.342,3.42,18.57,36.3
19.0183,2.17,19.0181,2.288,3.57,18.72,38.5
19.0198,2.49,19.0201,2.364,3.36,18.51,35.4
19.0225,2.16,19.0222,2.24,3.69,18.84,40.4
19.024,2.42,19.0242,2.344,3.42,18.57,36.2
19.0266,1.96,19.0264,2.242,3.69,18.84,40.3
19.0282,2.69,19.0284,2.304,3.52,18.67,37.8
19.0306,1.98,19.0305,2.256,3.65,18.8,39.8
19.0324,2.47,19.0325,2.408,3.25,18.4,33.7
19.0345,2.18,19.0345,2.328,3.46,18.61,36.9
